ID,Expense Type,Description,Amount,Claimable Amount,Full Name,Email,Is GST Claimable,Expense Date,Created AT
655f9a64dcfaa225305184a6,category 1,asdfghjkjhfgd,4348,869.6,Anamul Haque,anamuljibon522tyr@gmail.com,Yes,01/11/2023,24/11/2023
655f9b650fd3a9046c2c84bb,category 1,rtyujhgfdsgg,5000,1000,Anamul Haque,anamuljibon522tyr@gmail.com,No,01/11/2023,24/11/2023
655f9bd10fd3a9046c2c84db,category 1,dsfgdsfverfd,4348,869.6,Anamul Haque,anamuljibon522tyr@gmail.com,Yes,02/11/2023,24/11/2023
655fa04dac5b99f9c983e3aa,category 1,rghjjhfgd,5000,1000,Anamul Haque,anamuljibon522tyr@gmail.com,No,03/11/2023,24/11/2023
655fa3c7ac197242cd313df0,category 1,drtfyujikoli,5000,1000,Anamul Haque,anamuljibon522tyr@gmail.com,No,04/11/2023,24/11/2023
655fa4e4e4a10859a6b0a965,category 1,tyuiop[jhgfd,5000,1000,Anamul Haque,anamuljibon522tyr@gmail.com,No,01/11/2023,24/11/2023
655fa5f938a1dcfd4edfa027,category 1,ertjghnb,5000,1000,Anamul Haque,anamuljibon522tyr@gmail.com,No,01/11/2023,24/11/2023
655fa9050c455e45fc645e48,category 1,erftgyhjk,5000,1000,Anamul Haque,anamuljibon522tyr@gmail.com,No,01/11/2023,24/11/2023
656030e449f63becc90c930e,category 2,dfyuiopiuf,5000,750,Anamul Haque,anamuljibon522tyr@gmail.com,No,17/11/2023,24/11/2023
656030fe49f63becc90c931a,category 3,guiyfgh,5000,500,Anamul Haque,anamuljibon522tyr@gmail.com,No,16/11/2023,24/11/2023
6566192477c0cd28b868c973,text expense type,wert,3000,150,MD JIbon Haque,anamul@gmail.com,No,28/11/2023,28/11/2023
